X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
b,30.83,0,u,g,w,v,1.25,FALSE,FALSE,01,FALSE,g,00202,0,TRUE
a,58.67,4.46,u,g,q,h,3.04,FALSE,FALSE,06,FALSE,g,00043,560,TRUE
a,24.50,0.5,u,g,q,h,1.5,FALSE,FALSE,0,FALSE,g,00280,824,TRUE
b,27.83,1.54,u,g,w,v,3.75,FALSE,FALSE,05,FALSE,g,00100,3,TRUE
b,20.17,5.625,u,g,w,v,1.71,FALSE,FALSE,0,FALSE,s,00120,0,TRUE
b,32.08,4,u,g,m,v,2.5,FALSE,FALSE,0,FALSE,g,00360,0,TRUE
b,33.17,1.04,u,g,r,h,6.5,FALSE,FALSE,0,FALSE,g,00164,31285,TRUE
a,22.92,11.585,u,g,cc,v,0.04,FALSE,FALSE,0,FALSE,g,00080,1349,TRUE
b,54.42,0.5,y,p,k,h,3.96,FALSE,FALSE,0,FALSE,g,00180,314,TRUE
b,42.50,4.915,y,p,w,v,3.165,FALSE,FALSE,0,FALSE,g,00052,1442,TRUE
b,22.08,0.83,u,g,c,h,2.165,FALSE,FALSE,0,FALSE,g,00128,0,TRUE
b,29.92,1.835,u,g,c,h,4.335,FALSE,FALSE,0,FALSE,g,00260,200,TRUE
a,38.25,6,u,g,k,v,1,FALSE,FALSE,0,FALSE,g,00000,0,TRUE
b,48.08,6.04,u,g,k,v,0.04,FALSE,FALSE,0,FALSE,g,00000,2690,TRUE
a,45.83,10.5,u,g,q,v,5,FALSE,FALSE,07,FALSE,g,00000,0,TRUE
b,36.67,4.415,y,p,k,v,0.25,FALSE,FALSE,10,FALSE,g,00320,0,TRUE
b,28.25,0.875,u,g,m,v,0.96,FALSE,FALSE,03,FALSE,g,00396,0,TRUE
a,23.25,5.875,u,g,q,v,3.17,FALSE,FALSE,10,FALSE,g,00120,245,TRUE
