,accuracy,accuracy_std,complexity,epsilon,eqOpTrue,eqOpFalse,accTrue,accFalse,ip
0,0.7663608390558746,0.011689844711888426,10,0.01,0.08785160487946865,0.15,0.7722364117040822,0.7027777777777778,363.0
1,0.7592780216893692,0.007085730535530542,15,0.01,0.0963986134264772,0.2333333333333333,0.7625688936685039,0.725,351.0
2,0.7557319223985891,0.00919630898986118,20,0.01,0.09684845598158291,0.0,0.7625576914459828,0.6819444444444445,343.0
3,0.7468948178168037,0.003131021808698733,30,0.01,0.08785160487946865,0.25,0.7490478110857195,0.7263888888888889,331.0
4,0.7734155127772149,0.01572174653542191,5,0.01,0.017543859649122806,0.0,0.7818255141820137,0.6819444444444445,381.6666666666667
5,0.7716799879920447,0.0005704827871781247,10,0.05,0.06985790267524014,0.31666666666666665,0.7741519917551641,0.7472222222222222,360.6666666666667
6,0.7628053585500393,0.011443290568524521,15,0.05,0.08659469185784974,0.16666666666666666,0.7683492404893131,0.7041666666666666,349.6666666666667
7,0.7557319223985891,0.00919630898986118,20,0.05,0.09684845598158291,0.0,0.7625576914459828,0.6819444444444445,341.6666666666667
8,0.757533115689144,0.006176288776586434,30,0.05,0.13126141144716996,0.05555555555555555,0.762546489223462,0.7027777777777778,328.6666666666667
9,0.7734155127772149,0.01572174653542191,5,0.05,0.017543859649122806,0.0,0.7818255141820137,0.6819444444444445,381.3333333333333
10,0.7716799879920447,0.004380374513734362,10,0.1,0.0963986134264772,0.2333333333333333,0.7760899762512882,0.725,359.6666666666667
11,0.7557131599684791,0.016195243431492985,15,0.1,0.06950067476383266,0.16666666666666666,0.7606197069498588,0.7041666666666666,348.0
12,0.753958872753199,0.009608498572064918,20,0.1,0.08807652615702151,0.0,0.7606197069498588,0.6819444444444445,340.3333333333333
13,0.757533115689144,0.006176288776586434,30,0.1,0.12248948162260857,0.0,0.764484473719586,0.6819444444444445,328.3333333333333
14,0.7734155127772149,0.01572174653542191,5,0.1,0.017543859649122806,0.0,0.7818255141820137,0.6819444444444445,381.3333333333333
15,0.7716799879920447,0.004380374513734362,10,0.5,0.0963986134264772,0.2333333333333333,0.7760899762512882,0.725,359.6666666666667
16,0.7574862096138691,0.01575797853098598,15,0.5,0.06072874493927125,0.16666666666666666,0.762557691445983,0.7041666666666666,348.0
17,0.753958872753199,0.009608498572064918,20,0.5,0.08807652615702151,0.0,0.7606197069498588,0.6819444444444445,340.3333333333333
18,0.757533115689144,0.006176288776586434,30,0.5,0.12248948162260857,0.0,0.764484473719586,0.6819444444444445,328.3333333333333
19,0.7734155127772149,0.01572174653542191,5,0.5,0.017543859649122806,0.0,0.7818255141820137,0.6819444444444445,381.3333333333333
20,0.7787158992832751,0.01804317652470456,10,0,0.04524886877828055,0.0,0.7876282654478649,0.6819444444444445,386.0
21,0.7769616120679951,0.011999164492552733,15,0,0.0,0.0,0.7857014831742618,0.6819444444444445,386.0
22,0.7769616120679951,0.011999164492552733,20,0,0.0,0.0,0.7857014831742618,0.6819444444444445,386.0
23,0.7769616120679951,0.011999164492552733,30,0,0.0,0.0,0.7857014831742618,0.6819444444444445,386.0
24,0.7811339074636947,0.012657373661089136,5,0,0.0,0.0,0.7886980776986154,0.6989583333333333,386.75
25,0.7716799879920447,0.004380374513734362,10,1,0.0963986134264772,0.2333333333333333,0.7760899762512882,0.725,359.6666666666667
26,0.7574862096138691,0.01575797853098598,15,1,0.06072874493927125,0.16666666666666666,0.762557691445983,0.7041666666666666,348.0
27,0.753958872753199,0.009608498572064918,20,1,0.08807652615702151,0.0,0.7606197069498588,0.6819444444444445,340.3333333333333
28,0.7522139667529739,0.00226112583441529,30,1,0.09684845598158291,0.0,0.7587041268987766,0.6819444444444445,328.3333333333333
29,0.7734155127772149,0.01572174653542191,5,1,0.017543859649122806,0.0,0.7818255141820137,0.6819444444444445,381.3333333333333
